Encounter Code,Number of Players,DMG difficulty,DMG xp,Balanced 1 ave success,Balanced 1ave damage,Balanced 2 ave success,Balanced 2ave damage,Unbalanced 1 ave success,Unbalanced 1ave damage,Unbalanced 2 ave success,Unbalanced 2ave damage,Random ave success,Randomave damage
R5M02 ,5,Medium,225.0,1.0,0.14423076923076925,1.0,0.21666666666666665,1.0,0.40588235294117647,1.0,0.1649122807017544,0.9,0.6181818181818182
R5M03  ,5,Medium,225.0,1.0,0.08269230769230769,1.0,0.1925925925925926,1.0,0.2882352941176471,1.0,0.08771929824561403,1.0,0.21636363636363637
R5M04 ,5,Medium,225.0,1.0,0.023076923076923078,1.0,0.0962962962962963,1.0,0.13725490196078433,1.0,0.0649122807017544,1.0,0.08181818181818182
R5M05 ,5,Medium,250,1.0,0.007692307692307693,1.0,0.012962962962962963,1.0,0.021568627450980392,1.0,0.0,1.0,0.023636363636363636
R5M06 ,5,Medium,187.5,1.0,0.057692307692307696,1.0,0.02037037037037037,1.0,0.03529411764705882,1.0,0.03684210526315789,1.0,0.030909090909090907
R5M07 ,5,Medium,200,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
R5M08,5,Medium,187.5,1.0,0.0019230769230769232,1.0,0.0,1.0,0.023529411764705882,1.0,0.022807017543859647,1.0,0.007272727272727273
R5M09 ,5,Medium,250,1.0,0.07115384615384615,1.0,0.1222222222222222,1.0,0.16666666666666666,1.0,0.03684210526315789,1.0,0.17636363636363633
R5M10 ,5,Medium,225.0,1.0,0.0,1.0,0.02037037037037037,1.0,0.0,1.0,0.010526315789473684,1.0,0.11090909090909089
R5H01 ,5,Hard,400,1.0,0.175,1.0,0.4111111111111111,0.9,0.5588235294117647,1.0,0.3192982456140351,1.0,0.3109090909090909
R5H02 ,5,Hard,400,1.0,0.10769230769230768,1.0,0.3685185185185185,1.0,0.2666666666666667,1.0,0.31228070175438594,1.0,0.18727272727272726
R5H03 ,5,Hard,350,1.0,0.03461538461538462,1.0,0.05740740740740739,1.0,0.13333333333333333,1.0,0.11578947368421051,1.0,0.17454545454545453
R5H04 ,5,Hard,375.0,1.0,0.06538461538461537,1.0,0.07777777777777777,1.0,0.21764705882352944,1.0,0.17192982456140352,1.0,0.19636363636363635
R5H05,5,Hard,400,1.0,0.0057692307692307696,1.0,0.0,1.0,0.00980392156862745,1.0,0.0,1.0,0.0
R5H06 ,5,Hard,400,1.0,0.11730769230769231,0.9,0.512962962962963,1.0,0.5764705882352941,1.0,0.19649122807017544,0.9,0.7727272727272727
R5H07 ,5,Medium,300.0,1.0,0.06153846153846154,1.0,0.14444444444444443,1.0,0.18235294117647058,1.0,0.12456140350877194,1.0,0.29454545454545455
R5H08  ,5,Hard,400,1.0,0.09807692307692309,1.0,0.12407407407407407,1.0,0.30392156862745096,1.0,0.28771929824561404,1.0,0.2363636363636364
R5H09  ,5,Medium,200,1.0,0.11153846153846154,1.0,0.15925925925925927,1.0,0.10392156862745099,0.9,0.3701754385964912,1.0,0.25636363636363635
R5H10 ,5,Hard,375.0,1.0,0.0,1.0,0.22777777777777772,1.0,0.18235294117647055,1.0,0.15964912280701754,1.0,0.37272727272727274
R5D01 ,5,Deadly,450.0,1.0,0.0,1.0,0.02777777777777778,1.0,0.029411764705882353,1.0,0.0,1.0,0.0
R5D02 ,5,Deadly,500,1.0,0.17307692307692307,1.0,0.3074074074074074,0.9,0.5686274509803921,0.9,0.30350877192982456,0.9,0.4836363636363636
R5D03 ,5,Deadly,450,1.0,0.08076923076923077,1.0,0.2518518518518518,1.0,0.19607843137254904,1.0,0.14912280701754382,1.0,0.3181818181818182
R5D04  ,5,Deadly,500,1.0,0.11346153846153846,1.0,0.33148148148148143,1.0,0.44901960784313727,1.0,0.2649122807017544,1.0,0.2836363636363637
R5D05 ,5,Deadly,500,1.0,0.2115384615384616,1.0,0.5666666666666668,1.0,0.7019607843137254,1.0,0.36491228070175435,1.0,0.36363636363636365
R5D06  ,5,Deadly,450,1.0,0.24615384615384617,1.0,0.28518518518518515,1.0,0.3215686274509804,1.0,0.29122807017543856,1.0,0.3236363636363636
R5D07 ,5,Deadly,500,1.0,0.3807692307692308,0.9,0.5314814814814814,0.8,0.692156862745098,0.8,0.7596491228070175,1.0,0.7018181818181817
R5D08 ,5,Deadly,450,1.0,0.32115384615384607,1.0,0.6074074074074074,1.0,0.588235294117647,1.0,0.3017543859649122,0.9,0.6818181818181819
R5D09 ,5,Deadly,500,1.0,0.08461538461538462,1.0,0.22037037037037038,1.0,0.2,1.0,0.18771929824561404,1.0,0.26181818181818184
R5D10 ,5,Deadly,500,1.0,0.31153846153846154,0.9,0.5777777777777777,0.5,1.0549019607843138,1.0,0.45438596491228067,0.8,0.5690909090909091
