Encounter Code,Number of Players,DMG difficulty,DMG xp,Num Monsters,Challenge Ratings,Balanced 1 ave success,Balanced 1 success std,Balanced 1 total damage,Balanced 1 total damage std,Balanced 1 normalized damage,Balanced 1 normalized damage std,Unbalanced 1 ave success,Unbalanced 1 success std,Unbalanced 1 total damage,Unbalanced 1 total damage std,Unbalanced 1 normalized damage,Unbalanced 1 normalized damage std
R5E01,5,Easy,150,3,"[0.125, 0.125, 0.125]",1.0,0.0,1.0449999999999997,1.1586796198856961,0.11141150191208617,0.10048076923076925,1.0,0.0,2.2600000000000002,1.607163451231504,0.15756504423838275,0.22156862745098035
R5E02,5,Easy,112.5,2,"[0.25, 0.125]",1.0,0.0,0.8050000000000003,1.1560210272242524,0.11115586800233195,0.07740384615384616,1.0,0.0,1.325,1.2638463879394886,0.12390650862151849,0.12990196078431376
R5E03  ,5,Easy,75.0,2,"[0.125, 0.125]",1.0,0.0,0.425,0.7106335201775947,0.06833014617092258,0.040865384615384616,1.0,0.0,0.6699999999999999,1.0072048145543877,0.09874557005435174,0.06568627450980392
R5E04  ,5,Easy,75.0,2,"[0.125, 0.125]",1.0,0.0,0.69,0.7986527116626813,0.07679352996756551,0.06634615384615386,1.0,0.0,0.8200000000000001,0.8519058573243817,0.08352018209062566,0.0803921568627451
R5E05  ,5,Easy,112.5,2,"[0.25, 0.125]",1.0,0.0,0.22999999999999998,0.4380609956358086,0.04212124958036621,0.022115384615384617,1.0,0.0,0.6600000000000001,1.1086605454909113,0.10869221034224621,0.06470588235294118
R5E06 ,5,Easy,112.5,2,"[0.125, 0.25]",1.0,0.0,1.045,1.5964624354153492,0.15350600340532203,0.10048076923076923,1.0,0.0,2.12,2.1468163668140114,0.2104721928249031,0.20784313725490194
R5E07 ,5,Easy,112.5,2,"[0.125, 0.25]",1.0,0.0,0.395,0.7745801178537692,0.07447885748593934,0.03798076923076923,1.0,0.0,0.675,1.064761921143853,0.10438842364155422,0.0661764705882353
R5E08 ,5,Easy,112.5,2,"[0.25, 0.125]",1.0,0.0,0.1,0.569300065082171,0.05474039087328567,0.009615384615384614,1.0,0.0,0.515,1.1643309953216339,0.11415009758055233,0.05049019607843136
R5E09 ,5,Easy,112.5,2,"[0.125, 0.25]",1.0,0.0,0.6599999999999998,0.8329127143606284,0.08008776099621427,0.06346153846153846,1.0,0.0,1.215,1.2781296431173892,0.1253068277566068,0.11911764705882351
R5E10,5,Easy,112.5,2,"[0.25, 0.125]",1.0,0.0,0.13,0.385772618028435,0.0370935209642726,0.0125,1.0,0.0,0.39999999999999997,0.7074693071171502,0.06935973599187746,0.03921568627450981
R5M01 ,5,Medium,200,1,[0.5],1.0,0.0,0.05500000000000001,0.25211922291666405,0.024242232972756163,0.005288461538461539,1.0,0.0,0.39,0.813917402726799,0.079795823796745,0.03823529411764706
R5M02 ,5,Medium,225.0,2,"[0.5, 0.25]",1.0,0.0,1.26,1.9476218239768135,0.18727132922853973,0.12115384615384614,0.95,0.22072142786315224,3.94,4.4459604252134435,0.4358784730601415,0.3862745098039216
R5M03  ,5,Medium,225.0,2,"[0.25, 0.5]",1.0,0.0,0.45499999999999996,0.7605497337031271,0.07312978208683914,0.04375,1.0,0.0,1.9299999999999997,2.2264378816903116,0.21827822369512856,0.18921568627450983
R5M04 ,5,Medium,225.0,2,"[0.5, 0.25]",1.0,0.0,0.55,0.9212588934267874,0.08858258590642186,0.052884615384615384,1.0,0.0,1.125,1.5869257491556854,0.155580955799577,0.1102941176470588
R5M05 ,5,Medium,250,3,"[0.125, 0.25, 0.25]",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.19499999999999998,0.42362901041068757,0.04153225592261643,0.01911764705882353
R5M06 ,5,Medium,187.5,2,"[0.125, 0.5]",1.0,0.0,0.18,0.4386459351347695,0.0421774937629586,0.01730769230769231,1.0,0.0,0.9499999999999998,1.0923979738782625,0.10709784057630026,0.0931372549019608
R5M07 ,5,Medium,200,1,[0.5],1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11000000000000001,0.48558714129893493,0.04760658248028774,0.010784313725490196
R5M08,5,Medium,187.5,2,"[0.125, 0.5]",1.0,0.0,0.13999999999999999,0.6440257997698778,0.06192555767018056,0.01346153846153846,1.0,0.0,0.59,1.2616228864808643,0.12368851828243767,0.057843137254901957
R5M09 ,5,Medium,250,3,"[0.25, 0.25, 0.125]",1.0,0.0,0.29,0.5162984626784226,0.04964408294984833,0.027884615384615386,1.0,0.0,1.4700000000000002,1.330162897292408,0.1304081271855302,0.14411764705882352
R5M10 ,5,Medium,225.0,2,"[0.5, 0.25]",1.0,0.0,0.135,0.48227558883872984,0.0463726527729548,0.012980769230769231,1.0,0.0,0.41,0.9849638806341308,0.09656508633667948,0.04019607843137256
R5H01 ,5,Hard,400,5,"[0.25, 0.25, 0.125, 0.125, 0.25]",1.0,0.0,1.4949999999999999,1.559741924741036,0.14997518507125346,0.14375,0.85,0.3616202853397895,6.435000000000002,4.22832633434833,0.4145417974851304,0.6308823529411764
R5H02 ,5,Hard,400,3,"[0.5, 0.25, 0.25]",1.0,0.0,1.0599999999999998,1.5300075414595435,0.14711610975572534,0.10192307692307694,1.0,0.0,4.01,2.943902869077732,0.2886179283409541,0.39313725490196083
R5H03 ,5,Hard,350,4,"[0.125, 0.125, 0.5, 0.125]",1.0,0.0,0.24500000000000002,0.47821784543480567,0.04598248513796209,0.023557692307692307,1.0,0.0,1.2300000000000002,1.7920336535301493,0.17568957387550482,0.12058823529411762
R5H04 ,5,Hard,375.0,2,"[0.25, 1.0]",1.0,0.0,0.8749999999999998,1.461777983072283,0.14055557529541182,0.08413461538461539,1.0,0.0,2.165,2.404221714252255,0.23570801120120144,0.21225490196078428
R5H05,5,Hard,400,1,[1.0],1.0,0.0,0.10500000000000001,0.28279738148426864,0.027192055911948912,0.010096153846153848,1.0,0.0,0.2,0.4175631381707135,0.04093756256575622,0.019607843137254898
R5H06 ,5,Hard,400,3,"[0.25, 0.5, 0.25]",1.0,0.0,2.255,2.2861848187845677,0.21982546334466996,0.21682692307692308,0.775,0.42290206176626033,7.419999999999997,4.484914886423324,0.4396975378846396,0.7274509803921568
R5H07 ,5,Medium,300.0,2,"[0.5, 0.5]",1.0,0.0,0.6849999999999999,0.9280666421694578,0.08923717713167863,0.06586538461538462,1.0,0.0,1.8200000000000003,2.2426175182882466,0.21986446257727904,0.1784313725490196
R5H08  ,5,Hard,400,1,[1.0],1.0,0.0,0.715,1.0962757467081505,0.1054111294911683,0.06875,0.975,0.15811388300841897,2.9499999999999997,3.447109528657902,0.3379519145743041,0.2892156862745098
R5H09  ,5,Medium,200,1,[0.5],1.0,0.0,0.9949999999999999,1.5058773743790252,0.14479590138259857,0.09567307692307692,1.0,0.0,1.825,1.5138251770487459,0.14841423304399468,0.17892156862745104
R5H10 ,5,Hard,375.0,2,"[0.25, 1.0]",1.0,0.0,0.5399999999999999,1.1288296639690198,0.10854131384317499,0.051923076923076926,1.0,0.0,2.37,2.6508053928512427,0.2598828816520826,0.23235294117647057
R5D01 ,5,Deadly,450.0,2,"[1.0, 0.5]",1.0,0.0,0.05500000000000001,0.24384736714087865,0.023446862225084488,0.005288461538461539,1.0,0.0,0.145,0.5546770832355225,0.054380106199561025,0.014215686274509804
R5D02 ,5,Deadly,500,6,"[0.25, 0.25, 0.25, 0.25, 0.125, 0.125]",1.0,0.0,2.6450000000000005,1.7015754389268125,0.16361302297373195,0.25432692307692306,0.95,0.22072142786315224,5.375,3.3586283830433836,0.32927729245523374,0.5269607843137254
R5D03 ,5,Deadly,450,4,"[0.125, 0.25, 0.5, 0.25]",1.0,0.0,0.73,1.157849465438139,0.11133167936905185,0.07019230769230769,1.0,0.0,1.7150000000000003,2.094626825585297,0.20535557113581343,0.16813725490196077
R5D04  ,5,Deadly,500,4,"[0.5, 0.25, 0.25, 0.25]",1.0,0.0,1.8049999999999997,1.4517805160101394,0.13959428038559032,0.17355769230769236,1.0,0.0,4.495000000000001,2.581586671717559,0.2530967325213293,0.44068627450980397
R5D05 ,5,Deadly,500,5,"[0.125, 0.5, 0.125, 0.25, 0.25]",1.0,0.0,2.1200000000000006,1.753999093646522,0.16865375900447327,0.20384615384615387,0.9,0.3038218101251,7.159999999999999,3.8158105634858575,0.37409907485155464,0.7019607843137254
R5D06  ,5,Deadly,450,5,"[0.125, 0.125, 0.25, 0.125, 0.5]",1.0,0.0,1.7450000000000003,1.8195448853335798,0.17495623897438267,0.16778846153846155,0.975,0.15811388300841897,3.6750000000000007,3.0075759043643138,0.29486038278081506,0.3602941176470587
R5D07 ,5,Deadly,500,5,"[0.5, 0.25, 0.25, 0.125, 0.125]",1.0,0.0,3.2299999999999995,2.630608782031749,0.25294315211843743,0.31057692307692314,0.825,0.3848076442547927,8.02,4.940424563921088,0.48435534940402825,0.7862745098039213
R5D08 ,5,Deadly,450,4,"[0.25, 0.25, 0.5, 0.125]",1.0,0.0,3.8850000000000002,2.785268020984327,0.2678142327869545,0.3735576923076923,1.0,0.0,6.1800000000000015,3.395562715345743,0.33289830542605325,0.6058823529411763
R5D09 ,5,Deadly,500,5,"[0.5, 0.25, 0.125, 0.125, 0.25]",1.0,0.0,0.925,1.045319237215267,0.1005114651168526,0.0889423076923077,0.975,0.15811388300841897,3.374999999999999,3.3457780514001176,0.3280174560196194,0.3308823529411764
R5D10 ,5,Deadly,500,5,"[0.125, 0.25, 0.5, 0.125, 0.25]",1.0,0.0,3.975,3.024070105007488,0.29077597163533536,0.3822115384615385,0.875,0.3349320635285418,7.805,4.624014794581957,0.4533347837825448,0.7651960784313726
