Enconter Code,Number of Players,DMG difficulty,DMG xp,Balanced 1 ave success,Balanced 1ave damage,Balanced 2 ave success,Balanced 2ave damage,Unbalanced 1 ave success,Unbalanced 1ave damage,Unbalanced 2 ave success,Unbalanced 2ave damage,Random ave success,Randomave damage
R5E09 ,5,Easy,112.5,1.0,0.0,1.0,0.24074074074074073,1.0,0.058823529411764705,1.0,0.0,1.0,0.21818181818181817
R5E10,5,Easy,112.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.07272727272727272
R5M01 ,5,Medium,200,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
R5M02 ,5,Medium,225.0,1.0,0.0,1.0,0.4444444444444444,1.0,1.196078431372549,1.0,0.2807017543859649,1.0,0.36363636363636365
R5M03  ,5,Medium,225.0,1.0,0.09615384615384616,1.0,0.9814814814814815,1.0,0.3333333333333333,1.0,0.0,1.0,0.16363636363636364
R5M04 ,5,Medium,225.0,1.0,0.0,1.0,0.9629629629629629,1.0,0.3137254901960784,1.0,0.0,1.0,0.34545454545454546
R5M05 ,5,Medium,250,1.0,0.09615384615384616,1.0,0.5740740740740741,1.0,0.09803921568627451,1.0,0.0,1.0,1.0545454545454545
R5M06 ,5,Medium,187.5,1.0,0.0,1.0,0.05555555555555555,1.0,0.11764705882352941,1.0,0.0,1.0,0.05454545454545454
R5M07 ,5,Medium,200,1.0,0.0,1.0,0.2037037037037037,1.0,0.0,1.0,0.0,1.0,0.0
R5M08,5,Medium,187.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
R5M09 ,5,Medium,250,1.0,0.07692307692307693,1.0,0.0,1.0,0.5098039215686274,1.0,0.49122807017543857,1.0,0.41818181818181815
R5M10 ,5,Medium,225.0,1.0,0.0,1.0,0.37037037037037035,0.0,1.3137254901960784,1.0,0.0,1.0,0.0
R5H01 ,5,Hard,400,1.0,0.5,0.0,1.462962962962963,0.0,1.6862745098039216,1.0,0.42105263157894735,1.0,0.8181818181818182
R5H02 ,5,Hard,400,1.0,0.5769230769230769,1.0,0.7962962962962963,1.0,0.39215686274509803,1.0,0.0,1.0,0.5636363636363636
R5H03 ,5,Hard,350,1.0,0.1346153846153846,1.0,0.5,1.0,0.13725490196078433,1.0,0.0,1.0,0.5818181818181818
R5H04 ,5,Hard,375.0,1.0,0.09615384615384616,1.0,0.3888888888888889,1.0,0.4117647058823529,1.0,0.21052631578947367,1.0,0.21818181818181817
R5H05,5,Hard,400,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
R5H06 ,5,Hard,400,1.0,0.5961538461538461,1.0,0.9629629629629629,1.0,0.5882352941176471,1.0,0.24561403508771928,1.0,0.6909090909090909
R5H07 ,5,Medium,300.0,1.0,0.07692307692307693,1.0,0.37037037037037035,1.0,0.27450980392156865,1.0,0.2982456140350877,1.0,0.18181818181818182
R5H08  ,5,Hard,400,1.0,0.11538461538461539,1.0,0.0,1.0,0.8627450980392157,1.0,0.15789473684210525,1.0,0.16363636363636364
R5H09  ,5,Medium,200,1.0,0.0,1.0,0.35185185185185186,1.0,0.29411764705882354,1.0,0.19298245614035087,1.0,0.7636363636363637
R5H10 ,5,Hard,375.0,1.0,0.3269230769230769,1.0,0.46296296296296297,1.0,0.6274509803921569,1.0,0.19298245614035087,1.0,0.4727272727272727
R5D01 ,5,Deadly,450.0,1.0,0.0,1.0,0.0,1.0,0.11764705882352941,1.0,0.0,1.0,0.43636363636363634
R5D02 ,5,Deadly,500,1.0,0.3076923076923077,0.0,1.2962962962962963,0.0,1.3137254901960784,1.0,0.3508771929824561,0.0,1.1090909090909091
R5D03 ,5,Deadly,450,1.0,0.09615384615384616,1.0,0.8518518518518519,1.0,0.2549019607843137,1.0,0.21052631578947367,1.0,0.7636363636363637
R5D04  ,5,Deadly,500,0.0,1.4423076923076923,0.0,1.0740740740740742,0.0,1.2549019607843137,1.0,0.22807017543859648,1.0,0.5818181818181818
R5D05 ,5,Deadly,500,1.0,0.6346153846153846,1.0,0.5185185185185185,1.0,1.1764705882352942,1.0,0.6140350877192983,1.0,0.7090909090909091
R5D06  ,5,Deadly,450,1.0,0.15384615384615385,1.0,0.8888888888888888,0.0,1.4313725490196079,1.0,0.8070175438596491,0.0,1.2181818181818183
R5D07 ,5,Deadly,500,1.0,0.6346153846153846,0.0,1.462962962962963,0.0,1.4705882352941178,1.0,0.40350877192982454,0.0,1.6363636363636365
R5D08 ,5,Deadly,450,1.0,0.40384615384615385,1.0,0.5185185185185185,1.0,0.19607843137254902,1.0,0.6140350877192983,1.0,0.509090909090909
R5D09 ,5,Deadly,500,1.0,0.057692307692307696,1.0,0.6481481481481481,1.0,0.8823529411764706,1.0,0.5263157894736842,1.0,0.5454545454545454
R5D10 ,5,Deadly,500,1.0,0.7884615384615384,1.0,0.7777777777777778,0.0,1.2941176470588236,1.0,0.42105263157894735,0.0,1.1090909090909091
